url,price,duration,payment_type,free_to_audit,id
https://coursera.org/learn/what-is-datascience,39,9 hours,monthly,FALSE,0
https://coursera.org/learn/sql-for-data-science,39,14 hours,monthly,FALSE,1
https://coursera.org/learn/real-life-data-science,39,7 hours,monthly,FALSE,2
https://coursera.org/learn/data-science-course,39,7 hours,monthly,FALSE,3
https://coursera.org/learn/data-science-ethics,49,15 hours,one-time,TRUE,4
https://coursera.org/learn/what-is-datascience,39,9 hours,monthly,FALSE,5
https://coursera.org/learn/real-life-data-science,39,7 hours,monthly,FALSE,6
https://coursera.org/learn/sql-for-data-science,39,14 hours,monthly,FALSE,7
https://coursera.org/learn/data-science-ethics,49,15 hours,one-time,TRUE,8
https://coursera.org/learn/python-data-analysis,49,30 hours,monthly,FALSE,9
https://coursera.org/learn/python-data-analysis,49,30 hours,monthly,FALSE,10
https://coursera.org/learn/python-for-applied-data-science-ai,39,17 hours,monthly,FALSE,11
https://coursera.org/learn/python-genomics,39,9 hours,monthly,FALSE,12
https://coursera.org/learn/data-science-ethics,49,15 hours,one-time,TRUE,13
https://coursera.org/learn/what-is-datascience,39,9 hours,monthly,FALSE,14
https://coursera.org/learn/cloudera-big-data-analysis-sql-queries,49,18 hours,monthly,FALSE,15
https://coursera.org/learn/big-data-introduction,49,17 hours,monthly,FALSE,16
https://coursera.org/learn/cloudera-big-data-analysis-sql-queries,49,18 hours,monthly,FALSE,17
https://coursera.org/learn/introduction-to-ai,39,8 hours,monthly,FALSE,18
https://coursera.org/learn/mind-machine-artificial-intelligence,49,8 hours,monthly,FALSE,19
https://coursera.org/learn/python-data-analysis,49,30 hours,monthly,FALSE,20
https://coursera.org/learn/python-for-applied-data-science-ai,49,17 hours,monthly,FALSE,21
https://coursera.org/learn/python-genomics,39,9 hours,monthly,FALSE,22
https://coursera.org/learn/data-science-ethics,49,15 hours,one-time,TRUE,23
https://coursera.org/learn/what-is-datascience,39,9 hours,monthly,FALSE,24
https://coursera.org/learn/reinforcement-learning-in-finance,39,17 hours,monthly,FALSE,25
https://coursera.org/learn/language-processing,49,32 hours,monthly,FALSE,26
https://coursera.org/learn/clinical-natural-language-processing,49,12 hours,monthly,FALSE,27
https://coursera.org/learn/natural-language-processing-tensorflow,49,14 hours,monthly,FALSE,28
https://coursera.org/learn/fundamentals-network-communications,39,15 hours,monthly,FALSE,29
https://coursera.org/learn/hardware-security,39,12 hours,monthly,FALSE,30
https://coursera.org/learn/compthinking,49,11 hours,one-time,TRUE,31
https://coursera.org/learn/computational-thinking-problem-solving,49,18 hours,one-time,TRUE,32
https://coursera.org/learn/python-basics,49,36 hours,monthly,FALSE,33
https://coursera.org/learn/object-oriented-java,49,39 hours,monthly,FALSE,34
https://coursera.org/learn/programmation-orientee-objet-java,49,33 hours,one-time,TRUE,35
https://coursera.org/learn/data-structures-algorithms-1,39,26 hours,monthly,FALSE,36
https://coursera.org/learn/data-structures-algorithms-4,39,25 hours,monthly,FALSE,37
https://coursera.org/learn/data-structures-algorithms-2,39,37 hours,monthly,FALSE,38
https://coursera.org/learn/data-structures-algorithms-3,39,27 hours,monthly,FALSE,39
https://coursera.org/learn/social-media-data-analytics,49,13 hours,one-time,TRUE,40
https://coursera.org/learn/analytics-excel,49,21 hours,monthly,FALSE,41
https://coursera.org/learn/excel-data-analysis,49,20 hours,monthly,FALSE,42
https://coursera.org/learn/machine-learning-data-analysis,49,10 hours,monthly,FALSE,43
https://coursera.org/learn/data-analysis-tools,49,10 hours,monthly,FALSE,44
https://coursera.org/learn/exploratory-data-analysis,49,55 hours,monthly,FALSE,45
https://coursera.org/learn/continuous-integration,49,16 hours,one-time,TRUE,46
https://coursera.org/learn/it-infrastructure-and-emerging-trends,39,8 hours,monthly,FALSE,47
